A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,Approval
b,34.7,19.15,u,p,x,j,1.31,f,f,1,t,s,147646,15,+
a,36.62,21.99,u,gg,d,j,17.74,t,t,2,t,p,175138,19,-
a,55.97,20.28,y,gg,q,z,8.4,f,f,1,f,p,192898,79,+
b,14.18,4.15,y,g,w,j,9.94,f,f,0,t,s,151285,70,-
b,28.33,17.37,l,p,q,bb,18.34,f,t,1,t,s,71916,77,-
a,42.5,17.08,l,g,c,n,15.53,f,f,0,t,p,197223,42,-
b,28.32,26.05,u,g,w,j,2.61,f,f,1,t,p,50906,25,+
b,48.82,11.37,l,p,cc,h,11.31,f,f,0,t,s,463,89,-
a,40.47,11.14,y,p,r,z,8.85,t,f,1,t,g,163045,77,+
a,33.62,18.56,y,p,k,h,15.94,f,f,0,t,p,74694,70,-
b,67.1,18.99,u,gg,j,v,14.48,t,f,1,f,s,151723,32,-
a,49.03,14.08,y,g,j,n,13.81,t,f,1,f,s,68694,25,+
a,20.41,13.29,y,g,k,j,6.81,f,f,2,f,s,20008,44,-
b,44.93,14.82,y,gg,m,h,16.1,t,t,2,f,s,70474,83,-
a,57.5,25.83,y,p,c,n,1.05,f,t,0,f,g,38185,62,+
a,53.38,13.84,u,gg,q,v,3.19,t,f,1,t,s,87924,66,+
b,22.81,28.2,u,gg,cc,bb,6.71,f,f,0,t,p,34980,51,+
b,68.43,15.12,l,gg,i,z,1.54,t,t,2,t,g,22504,67,-
a,38.58,28.48,y,g,w,n,4.7,f,t,0,t,s,54970,25,+
a,22.06,24.98,l,gg,c,n,16.6,f,t,0,f,g,16766,74,+
b,23.27,10.87,u,g,aa,bb,18.97,f,f,2,t,p,116944,1,-
b,18.6,25.91,u,g,x,n,6.09,f,t,1,t,s,93922,13,+
b,58.8,3.3,u,g,w,v,5.29,t,f,0,f,p,142767,29,-
b,19.96,27.75,u,p,cc,v,5.6,f,f,2,t,s,148868,48,-
a,20.13,18.95,u,g,d,bb,5.55,t,t,1,t,s,173615,11,+
b,61.48,1.63,u,g,d,z,0.72,t,f,2,f,s,145631,89,-
b,32.64,19.33,u,p,ff,j,18.54,t,f,0,t,s,164211,43,+
a,14.76,29.23,y,g,c,h,4.27,f,f,1,t,s,120494,32,+
b,15.96,2.09,l,gg,r,j,8.4,t,f,1,t,g,8802,12,+
a,21.1,16.64,u,gg,cc,n,0.19,t,t,2,t,s,171277,77,+
b,25.16,22.43,y,g,cc,h,17.16,t,t,2,t,s,34159,87,-
b,50.91,24.31,y,p,k,bb,14.62,f,f,2,f,g,11516,97,-
b,21.97,12.41,l,gg,aa,bb,18.94,f,f,1,f,g,50492,25,+
a,19.78,6.12,u,p,r,z,15.63,t,t,1,f,g,29086,20,+
a,56.59,1.27,l,p,aa,h,6.27,f,f,0,f,g,113758,27,-
b,51.25,17.39,u,gg,q,v,4.96,f,t,1,f,g,30480,47,+
a,37.81,13.59,y,p,q,h,13.95,t,f,0,f,g,183163,99,-
a,44.31,28.46,y,gg,i,n,7.28,t,f,2,t,s,128023,39,+
a,30.78,1.82,y,p,ff,v,11.32,f,t,2,f,s,110195,65,-
a,40.5,20.56,y,gg,j,bb,0.13,t,t,1,f,p,178838,72,-
a,41.88,0.75,l,g,d,h,1.24,f,t,2,t,s,38737,86,-
a,35.07,5.14,u,gg,x,j,10.71,f,t,2,t,s,9265,78,+
b,64.67,13.61,u,gg,q,z,11.32,f,f,1,f,g,114165,76,+
b,13.92,13.65,l,gg,r,j,15.03,f,t,0,t,g,119501,22,+
a,57.58,20.57,u,gg,cc,z,2.64,f,f,1,f,s,70990,80,+
b,20.09,27.31,y,p,x,n,10.26,f,t,0,t,p,15386,47,+
b,58.46,19.17,u,g,e,j,3.89,t,t,1,f,g,104718,1,-
b,48.11,28.61,y,gg,aa,h,1.86,t,f,1,t,s,37425,83,-
b,61.07,26.45,l,p,q,h,8.21,f,t,2,t,s,121635,19,-
a,18.56,17.53,u,g,cc,j,3.27,f,t,1,f,p,174326,58,-
b,44.86,25.01,l,g,q,h,4.44,f,t,1,f,p,53634,45,-
b,41.56,19.28,u,g,d,n,6.35,t,t,0,f,g,178734,2,-
a,53.25,2.36,y,g,e,v,5.19,f,f,2,f,p,86988,54,-
a,43.45,22.22,l,gg,w,n,1.75,t,f,0,f,s,106337,11,+
b,43.82,2.85,u,gg,q,z,1.8,f,t,0,t,s,141215,39,-
b,37.49,17.82,y,p,r,n,3.86,f,t,2,f,p,146653,65,+
b,30.6,21.08,l,p,q,z,1.01,t,t,2,f,p,67443,99,-
b,40.49,2.0,l,p,j,h,12.53,t,f,2,t,p,29424,77,-
b,19.75,6.92,u,g,x,v,5.75,f,f,1,t,p,88844,15,+
b,67.81,27.47,u,g,x,h,5.59,f,f,2,f,g,41984,82,-
a,53.72,18.49,u,gg,d,bb,6.64,f,f,2,t,p,41505,33,+
b,67.29,7.39,y,g,r,h,13.26,t,t,2,t,g,102478,43,-
b,25.92,20.72,u,g,e,z,17.41,t,t,0,f,s,62699,5,+
a,63.12,17.9,l,g,k,h,15.18,t,t,0,t,p,158029,76,-
a,59.1,15.05,l,p,r,h,14.55,t,f,1,t,g,156536,63,+
a,51.6,29.29,u,p,x,v,9.69,t,t,0,f,p,114012,99,+
a,48.63,20.5,u,gg,j,h,13.88,t,f,1,f,s,154721,21,-
b,31.04,11.26,l,g,w,v,11.06,f,f,0,t,s,173137,17,-
b,59.54,24.0,y,g,d,j,4.33,f,t,2,t,s,34758,11,+
b,41.59,26.54,u,gg,k,bb,4.17,t,t,0,f,p,136668,51,-
b,17.04,3.76,u,g,j,v,5.93,f,t,1,t,p,16374,93,+
b,30.83,6.02,l,g,e,z,18.22,f,f,0,t,g,118686,50,-
b,66.31,6.49,u,p,aa,j,10.95,t,f,2,t,s,3775,70,+
a,61.49,20.74,y,gg,e,v,14.68,f,t,1,f,p,27388,95,-
b,68.97,18.09,l,gg,j,v,6.93,t,t,2,t,s,123800,47,+
a,48.8,18.57,u,gg,aa,bb,8.15,t,f,2,t,s,21029,18,-
a,27.11,28.22,l,gg,c,z,2.51,f,t,1,f,g,83981,5,+
b,22.28,23.28,u,p,d,n,3.43,t,f,2,t,g,53639,83,+
a,23.65,3.84,u,p,r,n,16.55,t,f,2,t,g,114010,26,-
b,14.13,10.43,u,g,aa,v,11.7,t,t,0,f,g,145717,52,-
a,35.27,13.06,y,g,ff,h,6.75,t,t,2,f,s,31105,47,+
b,23.91,11.88,y,g,aa,z,16.06,t,t,2,f,g,144740,6,+
a,36.46,20.08,l,g,cc,j,4.93,t,t,2,f,g,147032,58,+
b,66.29,26.76,u,p,w,h,19.52,t,f,2,t,g,126519,68,+
b,37.54,9.18,u,gg,cc,h,6.9,t,f,1,t,g,142429,10,-
b,63.05,16.56,y,p,r,z,6.75,f,f,0,f,s,195676,14,+
b,47.51,23.68,u,g,r,v,6.24,f,t,2,f,g,102739,63,+
b,27.09,12.49,y,p,d,v,2.44,f,f,2,t,s,51796,2,+
a,33.28,5.04,u,gg,r,v,2.22,t,t,1,f,p,15804,68,-
a,17.78,14.25,l,gg,x,v,12.96,t,t,2,t,s,127732,22,+
a,32.01,1.66,u,p,aa,n,17.5,f,t,1,f,s,145698,52,-
b,51.62,28.27,u,p,aa,v,15.81,f,t,0,t,g,159204,36,-
a,17.11,2.24,y,p,c,n,2.82,f,t,0,f,p,7951,8,-
b,24.71,13.15,u,g,k,n,10.91,t,t,2,f,p,137521,14,-
b,34.74,15.9,u,p,r,v,2.11,f,f,2,t,p,19065,2,-
a,68.98,29.56,y,p,cc,bb,0.91,f,t,2,f,p,101503,92,-
a,57.74,4.98,l,p,r,j,13.13,t,f,1,t,s,105072,69,-
b,54.81,3.43,l,gg,e,h,10.7,f,f,2,t,p,140202,16,+
a,19.62,0.26,y,gg,c,n,1.64,t,t,2,t,s,89360,25,+
b,57.52,4.67,y,g,x,z,0.7,t,t,0,t,s,62287,20,-
b,57.76,6.22,y,g,x,z,19.8,t,t,2,t,s,182774,71,+
b,47.26,18.92,y,gg,q,j,0.6,f,f,0,f,p,168065,20,+
b,69.45,6.59,y,gg,aa,z,8.89,f,t,2,f,g,162947,10,-
b,31.54,0.62,l,gg,x,bb,10.09,t,f,0,t,g,137126,37,+
a,66.65,24.8,l,p,aa,z,2.35,f,t,2,f,p,107357,71,-
a,65.14,10.97,y,p,q,h,3.38,f,t,0,t,g,179589,87,+
b,13.65,10.61,u,gg,j,h,7.04,f,f,1,f,g,29670,34,-
b,38.66,9.07,y,p,w,n,15.23,f,f,0,f,s,49112,13,-
a,68.69,29.26,u,p,i,v,10.14,t,t,0,f,s,88388,13,+
a,18.88,5.1,y,g,x,bb,12.76,f,f,0,f,p,89156,9,+
b,44.22,26.95,y,gg,k,n,19.7,t,f,2,t,p,159379,11,-
a,68.8,23.3,l,gg,e,bb,15.36,t,f,2,t,g,198159,37,-
b,44.66,2.29,u,p,m,v,8.69,f,f,2,f,s,47922,33,-
a,23.82,29.6,u,gg,j,z,8.93,t,f,1,f,p,194152,40,+
b,46.18,8.14,l,g,x,z,12.38,f,t,1,t,p,93348,9,+
a,24.65,2.96,l,g,aa,v,13.31,f,t,0,f,p,79335,16,+
b,42.62,24.88,l,g,w,n,10.01,t,f,1,t,p,26312,16,+
a,17.22,21.2,l,gg,q,v,12.9,t,t,0,t,p,66985,66,-
a,47.51,18.52,u,gg,cc,j,0.47,t,t,0,t,p,130744,61,-
b,42.46,4.68,u,gg,m,h,8.59,t,f,0,f,g,188680,94,-
a,55.19,14.35,y,gg,w,n,5.58,f,t,1,t,s,100963,0,-
b,48.95,23.42,y,gg,w,bb,2.58,f,f,2,f,s,171349,11,+
a,44.33,9.11,l,g,x,j,1.99,f,f,1,t,p,31551,3,-
b,52.32,9.35,l,p,j,n,12.06,t,t,0,f,s,89813,41,-
a,21.2,0.09,l,g,ff,v,10.47,t,f,0,f,s,187669,12,+
b,46.94,5.23,y,gg,m,v,5.07,t,f,1,f,s,101025,97,+
a,22.81,26.26,y,g,d,v,9.42,f,f,0,t,p,124342,84,-
b,65.75,13.25,y,gg,i,v,9.84,t,f,0,t,p,176284,85,+
a,16.9,29.53,y,gg,d,bb,3.9,f,f,1,f,s,9637,3,-
b,37.53,11.87,y,g,ff,j,13.04,t,t,1,f,s,43258,81,+
b,52.66,21.46,y,gg,aa,z,15.62,f,t,1,f,p,166765,68,+
b,39.11,8.46,y,p,aa,h,15.83,f,f,0,t,g,140896,18,-
a,18.25,10.91,l,gg,e,bb,12.05,t,f,0,t,s,129553,1,+
b,44.54,5.72,l,p,m,bb,10.23,t,t,2,t,g,26950,11,-
a,49.57,10.41,l,p,d,z,1.22,f,f,2,t,s,154560,80,+
b,53.12,16.42,l,gg,aa,z,5.76,f,t,1,f,g,127870,73,+
a,34.28,29.75,y,g,ff,h,1.87,t,f,2,f,g,215,97,+
b,45.13,19.93,u,p,x,h,19.28,t,f,0,t,g,105603,5,+
a,38.69,5.98,y,g,c,z,2.7,f,f,2,t,p,11523,7,+
a,51.31,1.35,u,p,q,v,3.04,t,f,0,f,g,68689,50,-
b,46.26,3.79,l,gg,c,bb,17.79,f,f,1,t,g,23834,10,+
a,42.97,16.88,y,gg,r,n,18.88,f,f,1,t,g,34474,62,-
a,27.22,22.95,l,p,d,h,15.32,t,f,0,t,s,43066,56,+
b,13.12,28.21,y,gg,e,h,0.11,t,t,2,t,g,10400,11,-
a,22.92,0.47,l,p,r,z,0.03,t,t,1,t,s,125211,72,+
a,19.67,15.68,u,gg,aa,j,7.56,t,t,1,t,g,10345,1,-
a,38.6,14.13,u,g,cc,n,2.87,t,f,2,f,g,33896,7,-
b,47.9,19.68,u,gg,k,n,0.37,f,f,2,t,p,28899,10,+
a,25.15,16.79,y,g,cc,h,9.28,f,f,0,t,s,28229,52,+
b,66.53,20.61,u,gg,ff,v,18.86,t,f,2,f,g,5583,99,+
