Contract ID,Country,Supplier,Contract Value (USD),Bidders Count,Award Date,Contract Duration (Months),Risk Score
d5fa5cc7,Zambia,Montgomery Ltd,6833715.65,10,2022-05-06,36,Low
bac47aa2,Uganda,Hall-Gonzalez,32826070.22,3,2022-01-21,36,High
dc608738,Ethiopia,Smith PLC,39174257.94,5,2024-10-05,12,High
6db64835,Ghana,"Scott, Schneider and Bailey",15238857.43,10,2024-12-18,6,High
fbe35446,Tanzania,"Sullivan, Johnson and Mcmillan",41396082.09,10,2020-05-04,3,High
fe50dbe6,Tanzania,"Graham, Kim and Jordan",5137265.68,5,2023-03-11,3,Medium
c651522a,Ghana,Park PLC,47008570.98,1,2020-05-26,24,High
031d952a,Egypt,Malone-Rocha,38253979.82,10,2023-11-26,6,High
85adbc39,Kenya,"Ramos, Smith and Brown",25786691.4,2,2021-04-07,3,High
05ac0844,Egypt,Bradley-Burnett,34255542.65,3,2023-01-07,6,High
a0d7619a,Egypt,"Coleman, Johnston and Hill",30596243.98,5,2020-05-21,3,High
a14937c9,Rwanda,Morrow Group,42936897.92,2,2023-03-20,24,High
de749287,Ethiopia,"Gilbert, Jones and Phillips",43581809.1,10,2023-09-24,12,High
8b43e1bb,Ethiopia,"Woods, Warren and Maldonado",2256660.89,5,2022-05-26,3,Low
f043b1ba,Egypt,Sanchez-Mcpherson,32414125.37,1,2020-12-30,12,High
3856f383,South Africa,"Barron, Carroll and Wright",4334150.54,1,2021-06-20,3,High
1b476ba4,Egypt,Montoya-Casey,20744679.58,10,2021-07-11,6,High
b174ce90,Nigeria,Lee Group,10654267.52,3,2024-06-29,6,High
724954bd,Uganda,Hughes-Parker,24053105.65,1,2020-05-31,24,High
454db801,Tanzania,Harrell PLC,21662200.24,5,2022-01-16,6,High
f3f36afe,Senegal,"Mendez, Price and Smith",25359573.48,2,2023-10-20,3,High
ede19f1c,Zambia,"Diaz, Flores and Higgins",46793226.11,5,2020-10-05,12,High
7f2dbaf2,Senegal,"Hamilton, Garcia and Ho",30918050.5,2,2021-08-15,6,High
58feac5c,Uganda,Shah-King,4906100.5,10,2024-04-30,6,Low
c31d0d6a,Ethiopia,"Pratt, Clark and Christian",9212922.27,2,2024-06-27,36,Low
d58f9319,Nigeria,"Donaldson, Oconnell and Houston",25217316.76,1,2022-05-24,6,High
3534bf41,Tanzania,Jenkins Inc,9760864.21,1,2024-08-13,36,High
9d33e6e3,Ethiopia,"Shelton, Davenport and Edwards",27154106.71,5,2023-01-01,36,High
e5929809,Zambia,Chen-Pham,7571980.15,2,2021-02-26,3,Medium
1c779069,South Africa,Warren-Torres,28126114.63,1,2023-02-26,36,High
f1952b5a,Ethiopia,"Oliver, Smith and Dunn",48595261.15,1,2021-05-04,6,High
f18dc3d7,Kenya,Pierce LLC,42356186.01,2,2024-12-04,24,High
ba3b08ed,Kenya,Davis-Henderson,20453221.1,10,2023-12-14,3,High
8f2903ab,Uganda,"Savage, Perez and Singleton",27380483.69,5,2024-07-15,3,High
45c82b01,Kenya,Cobb and Sons,37204692.74,10,2022-03-07,12,High
3020d892,Egypt,Bennett PLC,11838034.75,1,2020-04-22,3,High
f132e479,Nigeria,"Bonilla, Floyd and Erickson",48794236.62,5,2024-11-01,6,High
07af0f46,Zambia,"Myers, Hill and Sanders",35898366.93,2,2021-02-02,6,High
42addfd8,Uganda,Richardson-Hutchinson,36723045.96,10,2021-04-28,36,High
44092160,Egypt,Steele-Stewart,43040329.83,2,2023-04-11,12,High
e44e9c1f,Nigeria,"Cochran, Smith and Phillips",18980091.03,2,2021-03-11,6,High
b67de991,Ghana,"Arnold, Watts and Diaz",47009815.09,1,2024-09-23,36,High
9803e64e,Senegal,Johnson-Collins,22867396.86,5,2022-05-02,3,High
99310900,Uganda,Cohen-Cardenas,41472065.32,1,2024-11-19,12,High
9408d093,Egypt,"Clark, Salazar and Williams",34373962.98,10,2021-05-11,24,High
470e9a0c,Tanzania,Blackwell Inc,37055471.55,10,2021-12-25,3,High
10627b6f,South Africa,Kerr-Stone,30007831.44,5,2023-02-23,24,High
b198f5eb,Ghana,Ross Group,488176.72,10,2025-02-24,12,Low
6cdcf12e,Zambia,"Martin, Griffith and Reilly",15673574.83,2,2022-02-09,24,High
ea597f65,Kenya,Freeman-Marquez,11150942.37,3,2022-03-21,36,High
a37dfa4d,South Africa,"Rogers, Banks and Ruiz",11255065.3,2,2021-07-24,6,High
fad06ca2,Morocco,"Clark, Stein and Castillo",1961750.03,5,2021-05-22,24,Low
2d99e394,Senegal,Johnson Group,5768810.97,10,2023-05-12,12,Low
761613be,Senegal,Reyes-Sanchez,10207149.08,10,2022-09-14,36,High
e85c9993,South Africa,Moss-Townsend,37488031.41,2,2022-10-14,24,High
91caf742,South Africa,Harris-Hoffman,12689497.88,2,2023-05-02,6,High
9a82fbf6,Tanzania,"Anderson, Perkins and Smith",915973.55,1,2020-04-22,12,High
1bd8fe12,Zambia,Obrien-Patterson,3224787.09,5,2023-08-12,6,Low
ba37e536,Ethiopia,"Harris, Kim and Nguyen",18002279.25,2,2020-05-26,3,High
7de6394c,South Africa,Potts Ltd,16346586.69,5,2021-04-19,6,High
d2779068,Zambia,"Evans, Logan and Stephens",17569650.23,3,2021-01-16,3,High
b8a317ef,Ethiopia,Johnson-Baker,41057438.85,2,2020-09-12,6,High
b5f63fe3,Tanzania,"Miller, Clarke and Fernandez",1420469.49,10,2022-12-16,12,Low
2ba85c37,Tanzania,"Campbell, Walker and Clarke",6044892.86,10,2021-05-13,6,Low
31024484,Senegal,Jones-Case,3568644.07,3,2022-01-16,3,Low
fb52f605,Rwanda,"Carter, Foley and Moore",42170789.19,5,2024-05-27,3,High
4562344a,Zambia,Mitchell-Gonzalez,10078191.54,3,2024-04-22,6,High
530e5d71,Egypt,Curtis Inc,16537287.64,10,2024-06-29,24,High
d9d8f9e8,Ghana,"Frey, Rivera and Mitchell",16706995.8,5,2023-07-11,36,High
73f9c169,Ethiopia,Howe and Sons,27911016.58,2,2020-12-19,6,High
9b20717e,Senegal,Copeland-Davis,48145926.49,5,2020-03-22,6,High
2037f39a,Nigeria,White-Murray,26789696.62,1,2023-08-02,3,High
ca262f15,Kenya,Greer-Hamilton,29436276.86,2,2021-06-28,12,High
ac4fae08,Egypt,Thomas PLC,40545192.5,5,2022-03-30,12,High
96445177,Egypt,Hurley-Davenport,4140602.7,5,2020-03-21,3,Low
08abb103,Rwanda,Rios-Norris,11432689.33,10,2020-08-24,6,High
ac39f5ad,Ethiopia,Webb-White,43950827.31,5,2023-06-12,6,High
33369ac4,Ethiopia,"Ramirez, Doyle and Mckee",39906188.08,10,2023-10-17,36,High
30646993,Egypt,Brown and Sons,37939466.96,5,2021-06-11,6,High
c97d668c,Senegal,"Bennett, Navarro and Richardson",45211640.71,3,2023-05-19,36,High
8d69a454,Zambia,Williams PLC,42117551.43,10,2022-04-09,36,High
f06a5a89,Morocco,"Davis, Rivers and Moore",6067220.86,3,2020-11-17,3,Medium
f12e9f75,Senegal,Williams-Diaz,22314472.95,2,2020-04-21,12,High
e7d03d3f,Egypt,Odom-Hamilton,18680914.81,10,2022-12-16,6,High
86ff6f72,Zambia,"Bowman, Mann and Fernandez",46491629.74,1,2024-02-22,6,High
6cf39b9e,South Africa,Wilson-Williams,33268368.38,10,2021-05-25,6,High
2b2d0770,Egypt,York-Black,27829467.56,10,2021-02-23,3,High
887bf879,Senegal,"Gallegos, Glass and Peters",42017236.22,5,2020-08-06,3,High
f550606c,Nigeria,"Romero, Jones and Smith",1985799.34,10,2021-12-13,3,Low
eb31bff3,Senegal,Jones-Taylor,5627788.33,5,2020-08-07,36,Low
7364b230,Senegal,Jimenez Ltd,37393718.22,3,2023-07-06,24,High
a29f7381,Rwanda,Cox-Turner,47349506.51,2,2022-04-07,24,High
56da1bcd,South Africa,Ward Inc,8868030.13,5,2022-03-31,12,Low
4fd13070,Tanzania,Coleman LLC,8448316.51,1,2020-07-28,24,High
c32038f1,Kenya,Jones PLC,48973403.11,5,2024-09-29,6,High
c2510ebe,Uganda,Duke Ltd,29518454.26,3,2022-07-06,6,High
fc9e5b73,Tanzania,Hogan LLC,46929337.21,2,2023-08-22,6,High
563ac763,Nigeria,Wallace LLC,22799780.26,3,2020-12-10,3,High
ebbd6033,South Africa,Willis-Sanders,37980972.92,3,2023-04-14,12,High
f0dec329,Kenya,Kelly PLC,1751999.39,3,2022-06-26,12,Low
84d0600c,Morocco,Jackson-Singh,29171727.7,5,2023-07-03,24,High
fe95e0c1,Ghana,Brown-Gardner,18045937.72,3,2022-03-29,6,High
67cfab8b,Uganda,Edwards Group,38669740.74,10,2024-01-05,36,High
dc706caa,Ethiopia,Scott-Wood,35222436.98,3,2023-03-17,36,High
e77a7996,Nigeria,Chavez-Webster,27192670.43,1,2025-03-09,12,High
b91a0608,Ethiopia,Kelley Ltd,7336636.14,1,2024-01-15,36,High
206d72b8,Egypt,Nelson-Garcia,2192989.04,3,2020-09-15,12,Low
31919bac,Uganda,"Ryan, Torres and Quinn",21892784.8,3,2024-01-12,3,High
4d2cd5e1,Zambia,Norton LLC,4449137.34,5,2023-05-22,6,Low
a62eabaa,Zambia,Carson-Hughes,44080015.24,3,2025-03-17,12,High
8731c6af,Ghana,Cohen Inc,16225351.8,2,2024-02-27,36,High
814338dd,Nigeria,"Nguyen, Branch and Tucker",37940772.17,10,2022-12-03,24,High
ceae20eb,Rwanda,Turner PLC,15560548.61,2,2022-05-21,36,High
47fc628f,Nigeria,Hoover-Boyd,8635703.39,3,2021-09-17,24,Low
0b726258,Senegal,"Cole, Diaz and Terry",9150262.61,10,2021-09-09,12,Low
b566968d,Morocco,Edwards Group,18753969.43,10,2020-09-27,6,High
92b6bc97,Ghana,Gordon and Sons,21852383.63,3,2021-03-07,12,High
a79a1dcd,Ethiopia,Johnson PLC,41764092.7,3,2025-03-12,3,High
e16d85e7,South Africa,"Torres, Davies and Hatfield",11920943.98,1,2022-06-10,24,High
12789dc1,Egypt,Clarke PLC,34195976.24,3,2020-12-01,3,High
3f14fa68,Nigeria,"Salas, Singleton and Miller",42571001.64,2,2022-06-17,3,High
55de5efc,Uganda,Duncan-Woods,20778253.09,5,2023-04-07,6,High
c2a1ec70,Senegal,Garcia-Baker,49702896.63,5,2024-12-17,36,High
20db4c78,Zambia,Valencia Inc,1594947.43,3,2023-12-26,24,Low
b298404d,Rwanda,Cantrell and Sons,4703026.02,5,2022-05-14,6,Low
f82c34ae,Rwanda,"Lee, Moss and Solis",10657048.1,10,2025-03-13,12,High
383d4317,Nigeria,"Fox, Crawford and Stuart",24920686.04,5,2024-10-30,12,High
4df37fd1,Rwanda,Franco LLC,40604160.97,1,2020-05-08,6,High
12be2ee4,Ethiopia,Johnson-Gillespie,6123866.58,3,2022-02-01,36,Low
f90e0a4a,Nigeria,"Meadows, Nichols and Miller",43782237.47,3,2021-09-24,3,High
94f49f6d,Egypt,Hernandez Inc,48627701.06,3,2023-09-21,12,High
a05f00d3,Egypt,Tran-Shelton,7033177.55,10,2021-07-03,12,Low
c591cb57,Ghana,Taylor-Wilson,7092814.73,3,2022-03-05,24,Low
be719ca8,Senegal,"Morrow, Fletcher and Williams",19994152.92,5,2021-08-19,12,High
428f0d71,Nigeria,"Newton, Thomas and Adams",42781920.17,1,2021-09-14,24,High
512fa72a,Ghana,Fitzpatrick Inc,36575786.06,5,2021-12-16,36,High
8a01d5b6,Uganda,"Yoder, Reese and Floyd",18855171.13,2,2024-11-22,12,High
7c163e77,Egypt,Alvarez-Hunt,23935893.56,3,2021-02-24,36,High
9f06d4b3,Zambia,Wells-Wagner,28640258.11,10,2023-03-04,6,High
e32b8c1d,Senegal,Esparza PLC,13604111.65,1,2021-05-07,24,High
f96daf9b,South Africa,Flores-Howard,29890391.99,5,2025-01-15,6,High
8030a87b,Senegal,"Daniels, Hall and Rivera",1626906.83,2,2024-03-11,24,Low
08a4da0b,Rwanda,"Cruz, Johnson and Cruz",42776122.62,3,2023-08-27,6,High
4e660918,Kenya,Cisneros-Young,17067143.73,1,2022-03-27,24,High
1f425d96,South Africa,Love PLC,35268437.86,5,2021-03-22,3,High
a0031acb,Zambia,"Torres, Garner and Beasley",31819132.39,2,2025-03-13,3,High
686bfbb3,South Africa,Vega Group,32712145.42,5,2023-05-25,6,High
3adb92ba,Nigeria,Turner-Shepard,46733889.38,10,2024-02-05,3,High
90c7d843,South Africa,"Shah, Phillips and Young",44526420.41,10,2021-09-21,6,High
0684d424,Morocco,Hicks PLC,17502413.6,5,2024-07-16,12,High
85657c48,Uganda,Stevens-Jackson,15089698.6,3,2021-09-21,24,High
71266b39,Ghana,"Ramirez, Mann and Dyer",20433127.71,3,2022-03-14,24,High
1ae5d9a5,Rwanda,"Scott, Hudson and Smith",32277836.82,3,2024-11-08,6,High
f30a2001,Nigeria,Jones and Sons,3994594.55,3,2021-04-27,3,Low
f6d2402c,Egypt,Bell-Sparks,40196452.86,1,2021-12-25,36,High
e02f701a,Tanzania,"King, Taylor and Webb",11385117.89,1,2023-11-19,36,High
2725278a,Rwanda,Wilson LLC,26976519.66,3,2022-04-17,12,High
c843a98d,South Africa,Woods-Fleming,41642832.69,10,2025-01-29,36,High
b94be08f,Egypt,"Wheeler, Maddox and Banks",42619037.35,10,2023-01-10,36,High
f7365459,Egypt,Johnson Ltd,13210082.31,5,2023-09-09,12,High
22aefb0b,Rwanda,Spencer Ltd,1090867.76,3,2022-06-25,3,Low
e954af98,Morocco,"Ford, Diaz and Harris",410233.16,1,2020-09-18,12,High
b3cf8f72,Kenya,"Russell, Schultz and Clark",49393586.93,3,2023-09-14,36,High
635b585d,Ethiopia,Campbell-Vazquez,22077191.96,3,2021-09-17,12,High
3201bba3,Egypt,Barnes PLC,16335224.08,5,2024-12-07,36,High
b3ec0482,Uganda,Sampson Group,41020451.88,5,2020-05-21,24,High
0afeeaa0,Kenya,Johnson-Smith,3688087.75,3,2024-12-04,12,Low
e4541e12,Ghana,"Arias, Roberson and Graves",28641551.9,5,2023-12-21,24,High
c8fec37c,Rwanda,"Martinez, Zuniga and Walker",16576964.77,2,2021-06-14,12,High
a06edcaa,Ethiopia,Wright PLC,42622958.48,2,2020-11-14,6,High
f9859ded,Kenya,Brown LLC,6241549.8,2,2020-10-11,3,Medium
a1ba9c40,Tanzania,Miller-Miller,351207.73,5,2021-10-27,12,Low
786ce9a1,Tanzania,Torres-Morales,48600588.77,2,2021-12-16,3,High
d4878585,Ethiopia,Weaver-Medina,42798116.24,3,2023-11-10,24,High
f379d6d5,Rwanda,Anderson Ltd,10452182.31,1,2024-05-23,6,High
3b212509,Senegal,Miller LLC,15149202.16,2,2020-03-31,3,High
c9535744,Senegal,"Williams, Hampton and Martinez",36318749.67,10,2021-07-13,3,High
ad68d629,Ghana,"Fleming, Pham and Ruiz",1355226.45,3,2023-12-08,24,Low
6ad1332a,Ghana,"Kirby, Mccoy and Schmitt",31330261.19,3,2021-05-16,36,High
4b094a24,Senegal,Ruiz-Jackson,49344129.71,2,2022-03-29,6,High
7ebb3727,Egypt,Castillo-Collins,40842392.98,1,2022-12-20,3,High
11162e9e,Uganda,"Jones, Levy and Bryant",31467167.4,5,2023-03-20,24,High
fcc8b136,Nigeria,"Farrell, Burns and Small",20474519.19,1,2020-10-08,24,High
95d166df,Kenya,Gomez LLC,43278290.05,5,2020-12-16,36,High
30f3799d,Senegal,"Dillon, Smith and Flores",10450680.52,10,2024-07-19,3,High
7a0489e0,Zambia,Moore Inc,11596004.47,5,2021-11-10,36,High
0e86df06,Egypt,Myers-Wilson,41467058.4,10,2022-11-12,12,High
895268b6,Ethiopia,"Marshall, Miller and Ross",3533144.04,10,2020-10-10,3,Low
5d07c74d,South Africa,Wu PLC,18677148.24,1,2024-10-08,36,High
d4554d45,Egypt,"Flores, Brown and Carter",23660382.63,10,2022-09-19,6,High
db32d2cf,Zambia,Newton-Robertson,43114772.4,1,2020-07-21,24,High
636dd8a4,Nigeria,Jones-Brown,19844370.6,3,2022-09-12,12,High
15a59a0c,Ethiopia,Johnson and Sons,39972101.85,1,2020-08-25,6,High
4d0c5e41,Morocco,Welch Ltd,34748759.45,1,2021-10-22,3,High
7fc07cbb,Ethiopia,Roberts Ltd,43726178.48,3,2020-09-22,3,High
666f0729,Uganda,"Dunn, Bradley and Zhang",43954535.19,2,2025-03-08,36,High
f946f754,Rwanda,"Robinson, Cantrell and Weaver",8719872.75,1,2021-01-07,36,High
e66dab70,Rwanda,"Smith, Cruz and Jones",25138184.13,5,2023-06-15,3,High
85fae994,Ethiopia,Cook and Sons,46140145.34,2,2024-04-11,6,High
2f02c9c0,South Africa,Cruz-White,3882953.31,1,2024-12-27,3,High
e7280848,Ghana,Kennedy-Reyes,20632075.45,10,2024-03-10,6,High
9b0a9f98,Zambia,"Wood, Stuart and Freeman",6402825.84,10,2024-03-18,6,Low
75796e3b,Kenya,"Key, Jackson and Jenkins",537032.73,2,2023-08-12,3,Low
4dafbd33,Egypt,"Ramirez, Williams and Smith",8678336.01,10,2022-09-05,12,Low
2816d29d,Egypt,Lyons LLC,19051358.76,2,2022-06-23,12,High
0fb99513,South Africa,Davies-Anderson,38285065.62,2,2025-01-26,24,High
ee25f95d,South Africa,"Snyder, Fox and Spears",49999776.23,2,2022-10-05,24,High
42f9ea29,Tanzania,"Roberts, Carson and Lewis",2343092.18,10,2025-01-17,6,Low
f471dba1,Egypt,"Ali, James and Sullivan",46410617.86,1,2024-03-06,3,High
680ae544,Tanzania,"Harris, Rivas and Walsh",14080977.12,2,2021-07-20,3,High
d863dce4,Morocco,Johnson Inc,23923799.21,5,2020-07-10,36,High
f63246bb,Egypt,Knight PLC,37907555.2,3,2023-03-06,36,High
8f709dca,Nigeria,"Frey, Morales and Schultz",17067187.05,10,2021-04-11,24,High
7a2f38d0,Senegal,Rodriguez and Sons,29194058.06,3,2022-01-11,12,High
a1110699,Nigeria,Cole Group,21672377.7,10,2022-04-24,36,High
7491c610,Kenya,Beck LLC,4163357.95,3,2020-11-11,3,Low
7c3900c8,Senegal,Hudson-Wilson,33054252.5,1,2024-08-31,12,High
e5e3b9df,Uganda,"Powell, Howard and Mason",27525108.36,3,2024-03-21,24,High
77747227,Nigeria,"Boyer, Williams and Mercer",41996143.02,1,2021-10-21,3,High
8e8710a5,Kenya,Mullen Inc,42191526.62,5,2022-11-18,12,High
303fab31,Senegal,Armstrong Inc,22828123.37,10,2024-08-16,36,High
63d0ba2e,Tanzania,"Roberts, Howard and Smith",46292016.91,10,2021-10-28,36,High
1f4b10e6,Morocco,"Todd, Warren and Werner",28398553.8,5,2021-04-05,36,High
a61d8ab2,Egypt,Anderson Group,3989749.42,1,2025-03-04,3,High
9e843b0e,Kenya,Johnson-Foster,47689215.05,2,2021-08-04,24,High
ea53327b,Zambia,Thompson and Sons,39852633.35,2,2022-10-28,6,High
41740ee1,Zambia,Duncan-Friedman,5063355.05,3,2020-07-20,36,Low
b4d9bc78,Ethiopia,Weiss PLC,19892502.29,10,2023-03-12,12,High
8fc18de7,Ethiopia,"Stevenson, Reyes and Michael",17072063.18,10,2025-01-17,12,High
ce3e6101,Kenya,"Fitzgerald, Jordan and Ramirez",8715645.75,1,2023-11-24,36,High
07a88a39,Ethiopia,"Cook, Shaffer and Gonzales",39397437.62,5,2024-06-28,3,High
f5c0c828,Zambia,Gaines PLC,33270295.04,10,2023-12-09,24,High
2991ec91,Nigeria,Ward Inc,38664628.6,1,2024-05-17,12,High
c2852f2d,Rwanda,"Webb, Gutierrez and Howard",42271310.31,2,2022-02-07,6,High
f05b2aa1,Ethiopia,Davenport LLC,9742809.19,5,2022-07-14,36,Low
5677aa46,Ghana,Wright Group,19571020.25,3,2021-08-14,36,High
fdd431d8,Zambia,Smith LLC,44660454.5,3,2020-10-18,3,High
195aaaec,Senegal,"Moore, Kim and Johnson",534917.77,2,2021-05-25,36,Low
347de454,Nigeria,"Diaz, Gomez and Flores",23347848.2,10,2020-04-21,3,High
49c9733c,Morocco,"Jenkins, Walker and Johnson",5210252.7,10,2022-04-28,36,Low
bc97fdd8,Kenya,Lindsey-Leach,30745610.98,3,2025-03-03,6,High
c6a2c276,Zambia,"Davis, Craig and Zimmerman",41529441.09,2,2022-10-24,24,High
24f0ce31,Uganda,Duke LLC,28916828.57,2,2023-08-20,24,High
d53f6eaa,Kenya,Clark and Sons,19361223.51,10,2021-01-21,3,High
ba3a0af0,Egypt,Santos LLC,5053580.05,10,2023-06-06,6,Low
df05fce0,Zambia,Colon PLC,19738481.42,10,2020-11-26,36,High
d6221ea8,South Africa,Reid-Rivas,47806528.1,10,2023-04-03,12,High
174ef877,Kenya,"Stanley, Costa and Beasley",18268425.1,3,2020-04-24,24,High
1169eb28,Nigeria,Moses LLC,36146700.4,3,2023-11-25,12,High
1b364c67,Ghana,Nguyen Group,17892614.28,10,2022-10-29,36,High
c24fd321,Nigeria,Thomas Group,15736190.01,1,2020-05-13,6,High
b046e539,Tanzania,Richardson-Wallace,3279527.02,10,2024-05-11,6,Low
c07bd421,Senegal,Barrera-Ford,33076676.24,3,2022-09-29,36,High
89baeaae,Egypt,"Bell, Mcdaniel and Butler",49609929.83,10,2020-04-28,6,High
c4e25c9b,Senegal,Gutierrez-Rodriguez,8805191.46,3,2021-01-23,36,Low
20767599,South Africa,Novak-Alvarez,5503274.15,5,2023-04-09,36,Low
a4e1d7b4,Rwanda,Mendoza-Owen,18886330.84,1,2022-10-19,12,High
8c52f52b,South Africa,Parrish and Sons,25788259.14,5,2022-03-09,3,High
ed53b8ae,Rwanda,Davis Ltd,34492005.78,1,2021-09-08,6,High
60057401,Kenya,"Gonzalez, Stanton and Nguyen",47192130.87,5,2021-05-09,24,High
0931e872,Egypt,Edwards LLC,40084313.11,10,2020-07-28,24,High
96fbb78a,Kenya,Hogan-Reyes,39181596.21,2,2024-06-15,36,High
945a99ce,Ghana,"Morales, Long and Owens",35450135.15,3,2023-11-19,3,High
78efc746,Uganda,Ward-Gates,46478100.86,5,2023-10-10,12,High
d2620ac9,Ghana,"Donovan, Jones and Mcdonald",9152445.29,1,2021-10-08,6,High
833d8d64,Kenya,Oliver-Hall,24284217.38,3,2022-06-05,24,High
15d37c93,Senegal,Tran-Sanchez,12721290.91,2,2021-01-17,6,High
14cda110,Tanzania,Williams Ltd,4097406.71,3,2022-12-20,36,Low
73a83fd1,Kenya,Thompson-Schmidt,783099.51,2,2022-04-27,36,Low
734be3af,South Africa,"Walker, Hernandez and Smith",28592456.63,3,2022-04-25,36,High
ef392c79,Tanzania,Boyd Ltd,42093019.61,5,2024-06-27,12,High
1001ed34,Egypt,"Williams, Jones and Snyder",44066785.98,3,2024-05-15,6,High
ad9f3db1,Egypt,"Myers, Gibson and Farmer",38429245.22,1,2020-08-09,6,High
b88f0b3b,Ghana,Johnson-Young,47084457.08,3,2024-10-08,6,High
20038ed3,Rwanda,Jones-Brown,18285216.62,3,2024-04-30,36,High
d684d63a,Egypt,Young-Rivas,18791405.14,3,2020-05-15,24,High
b16b3bc2,Ghana,Reed-Hansen,48182678.68,2,2021-09-21,6,High
92a8b627,South Africa,Swanson Inc,8678099.22,1,2020-07-14,24,High
1789a8ff,Kenya,Buck-Robinson,36073807.22,10,2020-08-08,12,High
9afe8bf5,Nigeria,"Nichols, Hutchinson and Harrison",25354950.46,10,2022-09-26,6,High
d4f3b644,Kenya,"Valentine, Thomas and Nelson",39407942.91,10,2020-04-08,6,High
51af9ddd,Rwanda,King-Hansen,24462050.92,1,2024-06-28,6,High
83d46551,Uganda,"Rice, Ray and Sandoval",42513056.72,3,2021-12-31,3,High
3408b555,Senegal,"Wilson, Garcia and Johns",18489289.1,5,2022-12-08,36,High
beb9b473,Senegal,Johnston-Wood,4433617.33,1,2021-04-11,3,High
0f5a4bcf,Nigeria,Davis Ltd,21830349.89,10,2023-02-18,6,High
7eb34c05,South Africa,"Flowers, Sandoval and Williams",22008044.24,5,2025-03-12,3,High
0154638c,Nigeria,"Ramirez, Lewis and Johnson",23343555.83,5,2024-06-12,36,High
15c87b6c,Zambia,Rodriguez-Campbell,8250392.55,1,2021-05-01,36,High
68d3a466,Nigeria,"Khan, Taylor and Thomas",4410655.92,5,2024-02-05,24,Low
5df33e5c,Senegal,Walker-Schultz,5869856.82,5,2022-04-09,12,Low
ccfa2e1b,Senegal,"Rice, Smith and Wallace",29637724.24,10,2021-04-18,6,High
eaf0091b,Ethiopia,Cox LLC,14391834.81,2,2021-03-06,3,High
cba4bddb,South Africa,English Inc,22894088.29,5,2020-11-07,3,High
43f2f84c,Kenya,"Anderson, Pearson and Richards",3600420.11,2,2020-04-13,12,Low
c577381b,Tanzania,Williams Inc,43622446.41,2,2020-09-30,36,High
7b922056,Zambia,White-Becker,14454793.62,1,2020-11-17,36,High
211b76fe,Tanzania,Stevens-Palmer,26157076.08,5,2021-05-29,12,High
72f3411b,Zambia,King LLC,7006038.04,2,2024-07-21,6,Low
beea0e6a,Egypt,Garcia LLC,17303325.53,2,2024-07-05,12,High
b7bc6ef1,Ghana,Wilson-Stewart,48352790.69,3,2022-09-17,6,High
36c1dac4,Zambia,Rodriguez Inc,40326992.21,1,2024-02-15,6,High
9d78d613,Zambia,"Walker, Ortega and Compton",3652486.94,1,2023-12-07,12,High
2839a28f,Ethiopia,Rivera-Martin,39878977.94,3,2021-04-03,12,High
d247ea41,Uganda,Chen Group,45443397.2,5,2022-04-26,24,High
7d68f205,Kenya,Perez-Allen,9667968.32,5,2023-10-29,6,Low
3406918b,Tanzania,"Chapman, Sullivan and Hardy",30645772.96,2,2024-05-18,24,High
111443da,Ghana,"Carson, Henderson and Stark",15107724.87,2,2024-05-05,36,High
998d6487,Morocco,Cruz and Sons,38432128.05,10,2024-12-15,12,High
076d6613,Ethiopia,Contreras Ltd,28386060.18,3,2021-11-22,24,High
8b89c7bd,Rwanda,"Jones, Moore and Sullivan",34242611.78,1,2023-08-14,36,High
fa91b807,Ghana,Bruce and Sons,41358124.27,1,2020-07-21,12,High
6f1dc5a2,Kenya,Orozco-Wallace,13369851.02,2,2021-10-19,24,High
317bf184,Nigeria,Smith Inc,42475465.64,3,2021-12-25,24,High
b8cd5b6f,Tanzania,Hall LLC,20535319.65,2,2024-06-19,12,High
64057c86,Senegal,Ochoa Inc,15887070.11,1,2022-05-24,6,High
08c649e4,Uganda,"Hill, Cuevas and Robertson",10136209.29,2,2022-07-22,12,High
211d6e7a,Nigeria,Griffin-Lewis,5439508.82,2,2023-09-12,24,Low
65c63766,Egypt,"Myers, Gonzales and Turner",40663250.8,3,2021-11-28,36,High
09777bef,Tanzania,Bailey Group,29812010.16,1,2024-05-08,6,High
3b47d52d,South Africa,Walton Group,40115309.16,2,2024-10-17,12,High
c2d00c79,Morocco,Smith LLC,14475454.34,1,2021-07-26,12,High
bd70abac,Zambia,Campbell-Solis,39436635.34,2,2022-11-30,36,High
e93414ef,Senegal,Ruiz-Taylor,24881354.37,2,2020-12-29,24,High
d7fd2ea5,Ghana,Hicks Inc,34623800.1,10,2023-02-18,24,High
489d9992,Senegal,Reese Ltd,19217818.5,10,2021-11-24,36,High
8c4a6e8b,Rwanda,"Roberts, Wagner and Owens",4186595.76,10,2020-11-27,24,Low
9086548a,South Africa,Walters Inc,29319190.71,1,2023-05-11,36,High
9348b19f,Ethiopia,"Robbins, Jones and Ford",49898317.99,1,2021-09-30,12,High
04310896,Ethiopia,"Bennett, Payne and Collins",43773451.96,1,2024-12-05,3,High
463f8820,Rwanda,"Santos, May and Castaneda",15369167.07,2,2021-06-30,24,High
4b10360f,Rwanda,"Powell, Carter and Mitchell",47619972.04,10,2024-05-04,3,High
7394a9b4,Rwanda,Little-Nguyen,49407123.22,3,2020-09-17,36,High
